Province,District,MOH/QC/Camp,State,cases,latitude,longitude
North Central,Anuradhapura,Kekirawa,127,108,8.037462,80.59801
North Central,Anuradhapura,Mahawilachchiya,128,20,8.2814,80.4588
North Central,Anuradhapura,Medawachchiya,129,63,8.540822,80.495957
North Central,Anuradhapura,Nachchaduwa,130,4,8.2667,80.4667
North Central,Anuradhapura,Nochchiyagama,131,71,8.266802,80.20823
North Central,Anuradhapura,Padaviya,132,11,8.5595,80.5476
North Central,Anuradhapura,Palagala,133,34,7.4667,80.1333
North Central,Anuradhapura,Palugaswewa,134,2,8.053538,80.71918
North Central,Anuradhapura,Rajanganaya,135,24,8.1708,80.2833
North Central,Anuradhapura,Rambewa,136,41,8.4333,80.5
North Central,Polonnaruwa,Elahera,137,54,7.7244,80.7883
North Central,Polonnaruwa,Hingurakgoda,138,234,8.036505,80.948686
North Central,Polonnaruwa,Medirigiriya,139,37,7.8167,80.1833
North Central,Polonnaruwa,Welikanda,140,102,6.3167,80.0333
Uva,Badulla,Bandarawela,141,246,6.828867,80.990898
Uva,Badulla,Ella,142,160,6.874485,81.050937
Uva,Badulla,Girandurukotte,143,168,7.4,81.05
Uva,Badulla,Haldummulla,144,88,6.77061,80.884385
Uva,Badulla,Lunugala,145,34,7.041299,81.199335
Uva,Badulla,Mahiyanganaya,146,496,7.2444,81.1167
Uva,Badulla,Passara,147,188,6.935017,81.151166
Uva,Badulla,Soranathota,148,48,7.0167,81.05
Uva,Badulla,Welimada,149,310,6.906059,80.913222
Uva,Moneragala,Badalkumbura,150,150,6.893287,81.234346
Uva,Moneragala,Buttala,151,224,6.75,81.2333
Uva,Moneragala,Kataragama,152,98,6.4167,81.3333
Uva,Moneragala,Madulla,153,94,7.047667,80.918204
Uva,Moneragala,Siyambalanduwa,154,223,6.910581,81.552112
Uva,Moneragala,Wellawaya,155,424,6.719458,81.106295
Southern,Galle,Akmeemana,156,877,6.1845,80.3032
Southern,Galle,Ambalangoda,157,251,6.77533,79.96413
Southern,Galle,Baddegama,158,303,6.165975,80.201841
Southern,Galle,Balapitiya,159,450,6.269254,80.036054
Southern,Galle,Elpitiya,160,547,6.300214,80.171923
Southern,Galle,Gonapinuwala,161,78,6.2233,80.2
Southern,Galle,Habaraduwa,162,773,6.0043,80.326
Southern,Galle,Hikkaduwa,163,708,6.139535,80.113201
Southern,Galle,Imaduwa,164,264,6.7361,80.4354
Southern,Galle,Induruwa,165,1883,6.4681,80.0257
Southern,Galle,Karandeniya,166,247,6.260467,80.072462
Southern,Galle,Neluwa,167,131,6.37393,80.363267
Southern,Galle,Rathgama,168,350,6.7333,80.4833
Southern,Galle,Udugama,169,221,6.188469,80.338951
Southern,Galle,Yakkalamulla,170,126,6.109027,80.349195
Southern,Hambanthota,Ambalantota,171,473,6.114494,81.025983
Southern,Hambanthota,Beliatta,172,200,6.048637,80.734343
Southern,Hambanthota,Katuwana,173,79,6.2667,80.6972
Southern,Hambanthota,Walasmulla,174,148,6.15,80.7
Southern,Hambanthota,Weeraketiya,175,233,6.135,80.7865
Southern,Matara,Akuressa,176,244,6.0964,80.4808
Southern,Matara,Athuraliya,177,177,6.069724,80.497879
Southern,Matara,Hakmana,178,131,7.334701,80.82402
Southern,Matara,Kamburupitiya,179,194,6.069847,80.56473
Southern,Matara,Kotapola,180,167,6.292393,80.533957
Southern,Matara,Morawaka,181,204,6.25,80.4833
Southern,Matara,Pasgoda,182,65,6.242998,80.616175
Southern,Matara,Thihagoda,183,158,6.011602,80.561851
Southern,Matara,Weligama,184,704,5.9667,80.4167
,,Ampara,185,672,7.29754,81.68202
,,Anuradhapura,186,1848,8.31223,80.41306
,,Badulla,187,3283,6.9895,81.0557
,,Batticoloa,188,1000,7.7102,81.6924
,,Colombo,189,49865,6.93194,79.84778
,,Galle,190,9112,6.0367,80.217
,,Gampaha,191,32551,7.0897,79.9925
,,Hambanthota,192,2475,6.124593,81.101074
,,Jaffna,193,2892,9.66845,80.00742
,,Kalmunai,194,1597,7.40902,81.83472
,,Kaluthara,195,17382,6.5831,79.9593
,,Kandy,196,6853,7.2955,80.6356
,,Kegalle,197,2467,7.2523,80.3436
,,Kilinochchi,198,612,9.3961,80.3982
,,Kurunegala,199,9591,7.4863,80.3623
,,Mannar,200,411,8.9667,79.8833
,,Matale,201,4031,7.6667,80.75
,,Matara,202,4508,5.94851,80.53528
,,Moneragala,203,2370,6.8714,81.3487
,,Mullativu,204,929,9.15,80.6833
,,Nuwaraeliya,205,3802,6.97078,80.78286
,,Polonnaruwa,206,1085,7.93965,81.00274
,,Puttalam,207,3433,8.0362,79.8283
,,Ratnapura,208,6061,6.68278,80.39917
,,Trincomalee,209,1562,8.5711,81.2335
,,Vavunia,210,807,8.7514,80.4971
